**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.11185,  0.01117,  0.03439,  3.07794,  0.00000
Mg,  0.22930,  0.00000,  0.00000,  0.21868,  0.22910,  0.23003,  0.15625,  0.10505,  0.67235,  0.45816
Al,  2.73004,  1.07959,  1.31435,  2.62067,  2.73015,  2.73471,  2.23778,  0.67755,  0.30278,  0.24819
Si,  5.74688,  1.93140,  2.45694,  5.46496,  5.74686,  5.75610,  4.59348,  1.56425,  0.34054,  0.27219
P,  0.00483,  0.00000,  0.00195,  0.00249,  0.00444,  0.00511,  0.00260,  0.00171,  0.65676,  0.35288
S,  0.38839,  0.37373,  0.38529,  0.38922,  0.46559,  0.58991,  0.42288,  0.06550,  0.15490,  0.16865
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  2.55276,  2.54700,  2.55337,  2.58440,  2.82785,  2.90774,  2.65571,  0.13594,  0.05119,  0.05325
Ca,  1.05773,  0.59139,  0.65439,  1.01653,  1.05773,  1.05880,  0.91376,  0.18997,  0.20790,  0.17960
Ti,  0.18114,  0.07701,  0.09181,  0.17326,  0.18115,  0.18145,  0.14968,  0.04252,  0.28405,  0.23472
V,  0.00604,  0.00569,  0.00573,  0.00601,  0.00604,  0.00604,  0.00593,  0.00015,  0.02460,  0.02415
Mn,  0.03723,  0.02624,  0.02798,  0.03648,  0.03723,  0.03730,  0.03398,  0.00446,  0.13117,  0.11972
Fe,  1.79078,  0.95237,  1.07467,  1.71959,  1.79094,  1.79378,  1.53497,  0.33963,  0.22127,  0.18966
Zn,  0.10219,  0.10206,  0.10231,  0.10674,  0.12599,  0.12854,  0.11145,  0.01055,  0.09467,  0.10324
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.02972,  0.03674,  0.01224,  0.01546,  1.26268,  0.00000
Pb,  0.06203,  0.06191,  0.06214,  0.06544,  0.07835,  0.07975,  0.06846,  0.00712,  0.10405,  0.11484
